Unnamed: 0,Url,Price,Area,Price per cent,Location,Latitude,Longitude,distance_to_technopark,distance_to_agasthyamalai_hills,distance_to_ponmudi_hills,distance_to_nearest_beach,distance_to_nearest_lake,density,price_to_price_per_cent_ratio,beach_proximity,lake_proximity
50,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vettamukku-trivandrum&id=4d423734343130363537,12000000,9.997704316,1200275.545,vettamukku,8.5066,76.9858,17.774202,48.59153,52.774723,11.832711,12.02813,Low,9.997704318802898,Inland,Inland
51,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-pongumoodu-trivandrum&id=4d423731393234303737,10200000,5.99862259,1700390.356,pongumoodu,8.5393,76.9174,7.839663,50.295587,54.47878,7.969712,6.378502,Low,5.99862258922386,Inland,Inland
52,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kattakkada-trivandrum&id=4d423534353639373539,8000000,16.01239669,499612.9034,kattakkada,8.5033,77.0852,29.967282,42.455763,46.638956,20.251251,17.19968,Low,16.01239668863204,Inland,Inland
53,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-peyad-trivandrum&id=4d423531313330393336,5600000,6.999540863,800052.4762,peyad,8.5173,77.0237,22.032659,45.040947,49.22414,15.810231,14.532601,Low,6.999540863367182,Inland,Inland
56,https://www.magicbricks.com/propertyDetails/land-for-sale-in-pattom-trivandrum&id=4d423531353339383137,16800000,11.99954086,1400053.568,pattom,8.5207,76.9423,11.838466,48.973988,53.157181,7.873973,6.282763,High,11.999540863282167,Inland,Inland
57,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kudappanakunnu-trivandrum&id=4d423735333931383239,11300000,14.99770432,753448.6451,kudappanakunnu,8.549,76.9624,12.911424,44.62843,48.811623,12.428108,10.836898,Low,14.997704320644482,Inland,Inland
58,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kowdiar-trivandrum&id=4d423637383539343435,18000000,11.99954086,1500057.395,kowdiar,8.5222,76.9605,13.27826467,46.80432058,50.98750983,9.780415629,8.189200846,Low,11.99954085756832,Inland,Inland
59,https://www.magicbricks.com/propertyDetails/land-for-sale-in-medical-college-trivandrum&id=4d423733373431373135,72000000,35.99632691,2000204.081,medicalcollege,8.5236,76.9283,9.844377,50.239953,54.423146,6.533052,4.941842,High,35.99632691680325,Inland,Inland
60,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-mannanthala-trivandrum&id=4d423733323830303031,6800000,7.998163453,850195.1779,mannanthala,8.5616,76.9427,9.841727,45.625621,49.808814,11.934242,10.343032,Low,7.998163453239224,Inland,Inland
61,https://www.magicbricks.com/propertyDetails/land-for-sale-in-kowdiar-trivandrum&id=4d423734323830323735,3350000,13.99908173,239301.4102,kowdiar,8.5222,76.9605,13.27826467,46.80432058,50.98750983,9.780415629,8.189200846,High,13.999081732114254,Inland,Inland
63,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-perurkada-trivandrum&id=4d423438323335373339,8100000,6.756198347,1198899.083,peroorkada,8.5376,76.9666,13.216524,44.763425,48.946618,11.353845,9.762635,Low,6.756198344677522,Inland,Inland
65,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-jagathy-trivandrum&id=4d423637373636383131,36000000,30.00459137,1199816.373,jagathy,8.4959,76.9665,15.94333034,50.1200785,54.30326774,8.893930279,9.847007231,Low,30.00459137758408,Inland,Inland
67,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-palayam-trivandrum&id=4d423637373534363131,3200000,7.998163453,400091.8484,palayam,8.5039,76.9511,13.44172217,49.62898182,53.81217107,7.498876173,7.529455411,Low,7.998163453709595,Inland,Inland
68,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-pattur-trivandrum&id=4d423637373534363037,2780000,3.698347107,751687.1509,pattoor,8.4984,76.9348,12.46180318,51.40185614,55.58504538,5.353996926,5.266759453,Low,3.6983471071329177,Inland,Inland
72,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-karakkamandapam-trivandrum&id=4d423637373534353737,4500000,5.0,900000.0,karakkamandapam,8.4579,76.9994,21.37635035,53.0794474,57.26263664,10.80107888,5.715451375,Low,5.0,Inland,Inland
73,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-karakkamandapam-trivandrum&id=4d423637373534353731,10000000,18.99678604,526404.8339,karakkamandapam,8.4579,76.9994,21.37635035,53.0794474,57.26263664,10.80107888,5.715451375,Low,18.996786039961933,Inland,Inland
74,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kesavadasapuram-trivandrum&id=4d423637373534353635,8000000,5.0,1600000.0,kesavadasapuram,8.5297,76.9384,10.113221,48.454074,52.637267,8.046797,6.455587,Low,5.0,Inland,Inland
76,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vallakkadavu-trivandrum&id=4d423637373534353435,17600000,21.99724518,800100.1878,vallakkadavu,8.475,76.9195,14.243906,56.705267,60.88846,1.158748,8.862686,Low,21.99724518049913,Sea view,Inland
77,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vallakkadavu-trivandrum&id=4d423637373534353337,37500000,223.1404959,168055.5555,vallakkadavu,8.475,76.9195,14.243906,56.705267,60.88846,1.158748,8.862686,Low,223.14049594153408,Sea view,Inland
78,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-mannanthala-trivandrum&id=4d423736303338333633,1800000,3.000459137,599908.1867,mannanthala,8.5616,76.9427,9.841727,45.625621,49.808814,11.934242,10.343032,Low,3.000459136758101,Inland,Inland
79,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kanjirampara-trivandrum&id=4d423637393336333137,850000,5.99862259,141699.1963,kanjirampara,8.5171,76.9773,15.780727,47.735388,51.918581,11.896085,11.310012,Low,5.998622590634976,Inland,Inland
80,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-karimankulam-trivandrum&id=4d423637393336333239,35000000,39.99081726,875200.9186,karimankulam,8.5189,76.9902,17.30840689,47.05528786,51.2384771,12.86621131,12.28012439,Low,39.990817258266986,Inland,Inland
82,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-perurkada-trivandrum&id=4d423335333234353537,4200000,13.99908173,300019.6785,peroorkada,8.5376,76.9666,13.216524,44.763425,48.946618,11.353845,9.762635,Low,13.999081730233906,Inland,Inland
84,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-thampuranmukku-trivandrum&id=4d423637373633343733,30000000,19.99770432,1500172.196,thampuranmukku,8.5305,76.8848,5.179998108,54.4895358,58.67272504,5.702796647,3.615300573,Low,19.997704316871637,Inland,Inland
86,https://www.magicbricks.com/propertyDetails/land-for-sale-in-sreevaraham-trivandrum&id=4d423637373732303439,16500000,5.99862259,2750631.458,sreevaraham,8.4776,76.942,14.170828,53.174086,57.357279,5.036668,7.29075,High,5.998622589736993,Inland,Inland
87,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-sreevaraham-trivandrum&id=4d423637373732303435,5000000,9.997704316,500114.8106,sreevaraham,8.4776,76.942,14.170828,53.174086,57.357279,5.036668,7.29075,Low,9.997704315137913,Inland,Inland
88,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-thamalam-poojappura-trivandrum&id=4d423637373632383339,14000000,21.99724518,636443.3312,poojappura,8.488,76.9809,17.666302,51.066598,55.249791,9.785814,10.264713,Low,21.99724518065624,Inland,Inland
90,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-sastamangalam-trivandrum&id=4d423632343332363339,40500000,44.99540863,900091.8368,sasthamangalam,8.513,76.9715,15.327905,47.951141,52.134334,10.167906,9.581833,Low,44.995408628507626,Inland,Inland
91,https://www.magicbricks.com/propertyDetails/land-for-sale-in-varkala-trivandrum&id=4d423736303232323037,95200000,135.9733701,700137.0925,varkala,8.7379,76.7163,30.342372,72.292212,75.296291,2.020009,21.113497,High,135.97337010108487,Sea view,Inland
92,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-avanavanchery-trivandrum&id=4d423736303936303931,24000000,32.00183655,749956.9583,avanavanchery,8.6965,76.8404,17.52665801,55.88242375,60.065613,17.88029686,11.87821419,High,32.00183655126438,Inland,Inland
93,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-perurkada-trivandrum&id=4d423736303036313631,3500000,3.999081726,875200.9186,peroorkada,8.5376,76.9666,13.216524,44.763425,48.946618,11.353845,9.762635,Low,3.999081725826698,Inland,Inland
94,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kudappanakunnu-trivandrum&id=4d423734323830343435,6500000,5.0,1300000.0,kudappanakunnu,8.549,76.9624,12.911424,44.62843,48.811623,12.428108,10.836898,Low,5.0,Inland,Inland
95,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-nedumangad-trivandrum&id=4d423736303039303233,6000000,14.99770432,400061.2275,nedumangad,8.608,77.0046,20.217621,34.3255,38.508693,21.839424,20.248214,Low,14.997704320146848,Inland,Inland
96,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-eanchakkal-trivandrum&id=4d423638303433343239,8200000,5.495867769,1492030.075,eanchakkal,8.4832,76.9283,12.376686,53.793431,57.976624,4.90569,5.756844,Low,5.495867769287425,Inland,Inland
97,https://www.magicbricks.com/propertyDetails/land-for-sale-in-palayam-trivandrum&id=4d423730363939373935,9380000,3.999081726,2345538.462,palayam,8.5039,76.9511,13.44172217,49.62898182,53.81217107,7.498876173,7.529455411,High,3.999081725567543,Inland,Inland
100,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kariyam-trivandrum&id=4d423637393531373431,4300000,5.99862259,716831.2284,kariyam,8.5582,76.9225,7.39761,48.426693,52.609886,10.071322,8.990994,Low,5.998622590142726,Inland,Inland
101,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-gowreesapattom-trivandrum&id=4d423638303234303431,7500000,4.942607897,1517417.557,gowreesapattom,8.5083,76.9362,11.94846416,50.21112062,54.39430986,7.034774582,5.870142076,Low,4.942607896819003,Inland,Inland
102,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-gowreesapattom-trivandrum&id=4d423638303234303339,7200000,5.99862259,1200275.545,gowreesapattom,8.5083,76.9362,11.94846416,50.21112062,54.39430986,7.034774582,5.870142076,Low,5.998622591281738,Inland,Inland
103,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-manvila-trivandrum&id=4d423638303234303133,18500000,39.99081726,462606.1998,manvila,8.5438,76.8937,5.363685714,52.44994013,56.63312937,6.459619669,5.356686357,Low,39.99081726098389,Inland,Inland
104,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-karimankulam-trivandrum&id=4d423638303136343031,35000000,39.99081726,875200.9186,karimankulam,8.5189,76.9902,17.30840689,47.05528786,51.2384771,12.86621131,12.28012439,Low,39.990817258266986,Inland,Inland
105,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-jawaharnagar-trivandrum&id=4d423638303136333935,16900000,9.400826446,1797714.286,jawaharnagar,8.5166,76.9669,14.53887058,47.83838152,52.02157077,10.09663533,9.449806752,Low,9.4008264447869,Inland,Inland
106,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-killipalam-trivandrum&id=4d423638303136333931,1500000,5.739210285,261360.0,killipalam,8.4762,76.96,16.38434592,52.54291882,56.72610806,6.617892421,9.437680072,Low,5.73921028466483,Inland,Inland
107,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-chanthavila-trivandrum&id=4d423638303236383033,5000000,8.999081726,555612.2449,chanthavila,8.5918,76.8851,4.74723235,51.61804058,55.80122982,7.206852193,11.73208746,Low,8.999081726321398,Inland,Inland
108,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vellayambalam-trivandrum&id=4d423638303236373937,9000000,5.0,1800000.0,vellayambalam,8.5086,76.9657,14.934039,48.781893,52.965086,9.77404,9.187967,Low,5.0,Inland,Inland
109,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vettamukku-trivandrum&id=4d423638303236373837,10000000,9.997704316,1000229.621,vettamukku,8.5066,76.9858,17.774202,48.59153,52.774723,11.832711,12.02813,Low,9.997704317136996,Inland,Inland
111,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-ayiroopara-trivandrum&id=4d423736303439323833,6000000,30.00459137,199969.3956,ayiroopara,8.6077,76.9153,8.86862348,46.8795964,51.06278565,11.54233807,14.96898055,Low,30.00459136257949,Inland,Inland
112,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-anayara-trivandrum&id=4d423736303536373935,15600000,11.99954086,1300049.742,anayara,8.5096,76.9168,9.945451099,52.61181266,56.7950019,4.341622156,2.750407373,Low,11.999540860645007,Inland,Lake view
113,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kazhakkottam-trivandrum&id=4d423736303532343335,20000000,21.99724518,909204.7589,kazhakkoottam,8.5686,76.8731,1.3051,54.06213,58.245323,3.089955,8.289953,High,21.99724517961935,Inland,Inland
115,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kazhakuttam-trivandrum&id=4d423736303532393435,22000000,10.99862259,2000250.47,kazhakkoottam,8.5686,76.8731,1.3051,54.06213,58.245323,3.089955,8.289953,Low,10.998622587500254,Inland,Inland
116,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-Pappanamcode-trivandrum&id=4d423732303134383735,5900000,6.999540863,842912.4303,pappanamcode,8.4697,76.9818,19.03315,53.303922,57.487115,9.705932,8.051016,Low,6.999540863218897,Inland,Inland
117,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-peyad-trivandrum&id=4d423532373930393135,8000000,19.99770432,400045.9189,peyad,8.5173,77.0237,22.032659,45.040947,49.22414,15.810231,14.532601,Low,19.99770431853792,Inland,Inland
118,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-thirumala-trivandrum&id=4d423630363237313933,15000000,9.997704316,1500344.432,thirumala,8.5041,76.9917,18.7736,48.798465,52.981658,11.666181,11.668466,Low,9.997704313805192,Inland,Inland
119,https://www.magicbricks.com/propertyDetails/land-for-sale-in-kesavadasapuram-trivandrum&id=4d423736313033353335,4000000,11.99954086,333346.0877,kesavadasapuram,8.5297,76.9384,10.113221,48.454074,52.637267,8.046797,6.455587,High,11.999540860368109,Inland,Inland
120,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-anayara-trivandrum&id=4d423735363230303839,2500000,8.999081726,277806.1225,anayara,8.5096,76.9168,9.945451099,52.61181266,56.7950019,4.341622156,2.750407373,Low,8.99908172470173,Inland,Lake view
121,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-mangalapuram-trivandrum&id=4d423632313434343339,3000000,12.51147842,239779.8165,mangalapuram,8.6242,76.8485,8.468869,54.078949,58.262142,8.822511,7.944839,Low,12.511478421287393,Inland,Inland
122,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vattaiyurkavu-trivandrum&id=4d423637303538303331,8700000,7.318640955,1188745.295,vattiyoorkavu,8.5242,76.9881,16.515234,46.077624,50.260817,12.939844,12.129453,Low,7.318640954116248,Inland,Inland
123,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-Poojappura-trivandrum&id=4d423638313634393133,10200000,5.99862259,1700390.356,poojappura,8.488,76.9809,17.666302,51.066598,55.249791,9.785814,10.264713,Low,5.99862258922386,Inland,Inland
124,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-balaramapuram-trivandrum&id=4d423734303534383535,50000000,50.0,1000000.0,balaramapuram,8.4321,77.0503,28.722221,51.713743,55.896936,10.107014,7.286278,Low,50.0,Inland,Inland
125,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-karyavattom-trivandrum&id=4d423733353538323431,1550000,21.99724518,70463.36881,karyavattom,8.5678,76.8908,2.866703,52.08072,56.263913,5.540415,9.009202,Low,21.997245181102205,Inland,Inland
126,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-sastamangalam-trivandrum&id=4d423735383031353537,8000000,5.0,1600000.0,sasthamangalam,8.513,76.9715,15.327905,47.951141,52.134334,10.167906,9.581833,Low,5.0,Inland,Inland
128,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vizhinjam-trivandrum&id=4d423531383733333939,1000000,9.997704316,100022.9621,vizhinjam,8.3932,77.0046,26.898654,59.525163,63.708356,4.045079,5.713554,Low,9.997704317136996,Inland,Inland
130,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-attingal-trivandrum&id=4d423538373530383639,7050000,23.48484848,300193.5484,attingal,8.6982,76.8137,18.106345,58.660363,62.843556,16.803479,11.596318,Low,23.484848483839038,Inland,Inland
